30;La novia de Frankenstein;26/04/2009
31;"El asesinato de Richard Nix&oacute;n";20/02/2009
31;El mismo amor la misma lluvia;27/02/2009
32;Mendelssonh;28/02/2009
32;Thaicovsky;07/03/2009
33;"Grandes metr&oacute;polis";22/02/2009
33;Trabajando;01/03/2009
34;23F desde dentro;23/02/2009
35;Superman 3;20/02/2009
35;Batman y Robin;27/02/2009
35;Superman IV;06/03/2009
35;Batman vuelve;13/03/2009
35;Hulk 20;20/03/2009
35;La liga de los hombres extraordinarios;27/03/2009
35;Daredevil;03/04/2009
35;Electra;17/04/2009
35;The punisher;24/04/2009
35;Desde el infierno;01/05/2009
35;Pitch Black;08/05/2009
35;"Conan el b&aacute;rbaro";15/05/2009
35;Darkman 22;22/05/2009
35;Conan el destructor;29/05/2009
36;Cube;28/02/2009
36;American Pyscho 2;14/03/2009
36;The Ring;21/03/2009
36;Los chicos del maiz;27/03/2009
9;La fiesta del pijama;06/03/2009
9;Concurso de mascotas;07/03/2009
9;Verdad o desafio;13/03/2009
9;Las elecciones;14/03/2009
9;Haz el bien y no mires aquien;20/03/2009
9;Ponte en mi lugar;21/03/2009
9;Acampada;27/03/2009
9;el secreto de Burdine;28/03/2009
9;El sueño de Jade;03/04/2009
9;La amistad, algo mas que palabras;04/04/2009
9;Haciendo memoria;10/04/2009
9;Féliz cumpleaños Yasmín;17/04/2009
9;Supervivientes en la naturaleza;18/04/2009
9;Atrapa un Ladrón;24/04/2009
9;Una Historia de Cenincienta;25/04/2009
9;El chico nuevo;01/05/2009
9;Las Bratz en París(I);02/05/2009
9;Las Bratz en París(II);08/05/2009
9;Las Bratz en París(III);09/05/2009
7;La Dolce Vita;08/03/2009
7;Yo creo en ti;15/03/2009
8;Live Dublín(2CD + DVD);08/03/2009
8;Devils and Dust;15/03/2009
8;Live in Barcelona;22/03/2009
8;In concert(MTV unplugged);29/03/2009
8;Live in NYC;05/04/2009
8;Video anthology;12/04/2009
8;VH1-Storytellers(Visual Millestone);19/04/2009
8;Blood Brothers;26/04/2009
13;Rebelión en el fuerte;05/03/2009
13;Perseguido;12/03/2009
13;Noche de Titanes;19/03/2009
13;El Rey del Rodeo;26/03/2009
13;Wichita;02/04/2009
13;Copañeros Mortales;09/04/2009
13;Orgullosos y Malditos;16/04/2009
13;La calle de los conflictos;23/04/2009
13;La horda maldita;30/04/2009
37;Sevilla;08/03/2009
37;Santiago de Compostela (La Coruña y Lugo);09/03/2009
37;Bilbao;10/03/2009
37;Salamanca;15/03/2009
37;Cantabria;16/03/2009
37;Cádiz;17/03/2009
37;Barcelona;22/03/2009
37;Málaga;23/03/2009
37;Madrid;24/03/2009
37;Granada;29/03/2009
37;Burgos;30/03/2009
37;Cáceres;31/03/2009
37;Palma de Malloca;01/04/2009
37;Córdoba;06/04/2009
37;Logroño;07/04/2009
37;Valencia;08/04/2009
37;Canarias - Gran Canaria;13/04/2009
37;Segovia;14/04/2009
37;Toledo;15/04/2009
37;León;20/04/2009
37;San Sebastián;21/04/2009
37;Zaragoza;22/04/2009
37;Santa Cruz de Tenerife;27/04/2009
37;Cuenca;28/04/2009
37;Oviedo Gijón y Avilés;29/04/2009
37;Murcia;04/05/2009
37;Pamplona;05/05/2009
37;Pontevedra + Rías Bajas + Orense;06/05/2009
